modelCode,rpm,airflow_m3hr,staticPressure_pa,power_kw,efficiency
AV1281CMA,1179,550.48,249.09,0.0746,
AV1281CMA,1592,550.48,498.18,0.1491,
AV1281CMA,2198,550.48,996.36,0.3057,
AV1281CMA,2666,550.48,1494.53,0.4847,
AV1281CMA,3063,550.48,1992.71,0.6711,
AV1281CMA,1265,733.97,249.09,0.1119,
AV1281CMA,1650,733.97,498.18,0.1939,
AV1281CMA,2239,733.97,996.36,0.3952,
AV1281CMA,2703,733.97,1494.53,0.6040,
AV1281CMA,3096,733.97,1992.71,0.8277,
AV1281CMA,3758,733.97,2989.07,1.3050,
AV1281CMA,1371,917.47,249.09,0.1566,
AV1281CMA,1728,917.47,498.18,0.2610,
AV1281CMA,2289,917.47,996.36,0.4847,
AV1281CMA,2744,917.47,1494.53,0.7308,
AV1281CMA,3134,917.47,1992.71,0.9918,
AV1281CMA,3791,917.47,2989.07,1.5361,
AV1281CMA,4346,917.47,3985.42,2.1178,
AV1281CMA,4837,917.47,4981.78,2.7442,
AV1281CMA,5282,917.47,5978.13,3.4078,
AV1281CMA,1491,1100.96,249.09,0.2163,
AV1281CMA,1821,1100.96,498.18,0.3356,
AV1281CMA,2356,1100.96,996.36,0.5966,
AV1281CMA,2794,1100.96,1494.53,0.8725,
AV1281CMA,3177,1100.96,1992.71,1.1707,
AV1281CMA,3829,1100.96,2989.07,1.7897,
AV1281CMA,4381,1100.96,3985.42,2.4384,
AV1281CMA,4868,1100.96,4981.78,3.1096,
AV1281CMA,1622,1284.45,249.09,0.2983,
AV1281CMA,1929,1284.45,498.18,0.4325,
AV1281CMA,2435,1284.45,996.36,0.7233,
AV1281CMA,2858,1284.45,1494.53,1.0291,
AV1281CMA,3228,1284.45,1992.71,1.3572,
AV1281CMA,3870,1284.45,2989.07,2.0432,
AV1281CMA,4419,1284.45,3985.42,2.7740,
AV1281CMA,4903,1284.45,4981.78,3.5197,
AV1281CMA,1762,1467.95,249.09,0.3952,
AV1281CMA,2048,1467.95,498.18,0.5444,
AV1281CMA,2525,1467.95,996.36,0.8650,
AV1281CMA,2933,1467.95,1494.53,1.2080,
AV1281CMA,3291,1467.95,1992.71,1.5660,
AV1281CMA,3917,1467.95,2989.07,2.3191,
AV1281CMA,4459,1467.95,3985.42,3.1096,
AV1281CMA,4941,1467.95,4981.78,3.9373,
AV1281CMA,1909,1651.44,249.09,0.5145,
AV1281CMA,2173,1651.44,498.18,0.6860,
AV1281CMA,2626,1651.44,996.36,1.0365,
AV1281CMA,3017,1651.44,1494.53,1.4094,
AV1281CMA,3365,1651.44,1992.71,1.7971,
AV1281CMA,3973,1651.44,2989.07,2.6174,
AV1281CMA,4504,1651.44,3985.42,3.4750,
AV1281CMA,4982,1651.44,4981.78,4.3623,
AV1281CMA,2062,1834.93,249.09,0.6637,
AV1281CMA,2307,1834.93,498.18,0.8501,
AV1281CMA,2737,1834.93,996.36,1.2379,
AV1281CMA,3110,1834.93,1494.53,1.6405,
AV1281CMA,3446,1834.93,1992.71,2.0581,
AV1281CMA,4039,1834.93,2989.07,2.9381,
AV1281CMA,4557,1834.93,3985.42,3.8627,
AV1281CMA,5026,1834.93,4981.78,4.8172,
AV1281CMA,2219,2018.42,249.09,0.8352,
AV1281CMA,2446,2018.42,498.18,1.0440,
AV1281CMA,2854,2018.42,996.36,1.4690,
AV1281CMA,3211,2018.42,1494.53,1.9015,
AV1281CMA,3535,2018.42,1992.71,2.3490,
AV1281CMA,4113,2018.42,2989.07,3.2811,
AV1281CMA,4619,2018.42,3985.42,4.2729,
AV1281CMA,5078,2018.42,4981.78,5.2945,
AV1281CMA,2380,2201.92,249.09,1.0440,
AV1281CMA,2591,2201.92,498.18,1.2751,
AV1281CMA,2977,2201.92,996.36,1.7226,
AV1281CMA,3320,2201.92,1494.53,2.1924,
AV1281CMA,3632,2201.92,1992.71,2.6771,
AV1281CMA,4193,2201.92,2989.07,3.6688,
AV1281CMA,4688,2201.92,3985.42,4.7128,
AV1281CMA,5137,2201.92,4981.78,5.8015,
AV1281CMA,2543,2385.41,249.09,1.2826,
AV1281CMA,2739,2385.41,498.18,1.5287,
AV1281CMA,3106,2385.41,996.36,2.0208,
AV1281CMA,3436,2385.41,1494.53,2.5205,
AV1281CMA,3736,2385.41,1992.71,3.0350,
AV1281CMA,4279,2385.41,2989.07,4.0864,
AV1281CMA,4764,2385.41,3985.42,5.1826,
AV1281CMA,5204,2385.41,4981.78,6.3310,
AV1281CMA,2709,2568.90,249.09,1.5585,
AV1281CMA,2892,2568.90,498.18,1.8270,
AV1281CMA,3239,2568.90,996.36,2.3564,
AV1281CMA,3556,2568.90,1494.53,2.8859,
AV1281CMA,3846,2568.90,1992.71,3.4302,
AV1281CMA,4371,2568.90,2989.07,4.5488,
AV1281CMA,4845,2568.90,3985.42,5.7046,
AV1281CMA,5276,2568.90,4981.78,6.8977,
AV1281CMA,2877,2752.40,249.09,1.8792,
AV1281CMA,3048,2752.40,498.18,2.1625,
AV1281CMA,3377,2752.40,996.36,2.7293,
AV1281CMA,3681,2752.40,1494.53,3.2960,
AV1281CMA,3962,2752.40,1992.71,3.8702,
AV1281CMA,4470,2752.40,2989.07,5.0484,
AV1281CMA,4931,2752.40,3985.42,6.2639,
AV1281CMA,3046,2935.89,249.09,2.2371,
AV1281CMA,3207,2935.89,498.18,2.5354,
AV1281CMA,3519,2935.89,996.36,3.1469,
AV1281CMA,3810,2935.89,1494.53,3.7434,
AV1281CMA,4082,2935.89,1992.71,4.3474,
AV1281CMA,4575,2935.89,2989.07,5.5927,
AV1281CMA,5023,2935.89,3985.42,6.8754,
AV1281CMA,3216,3119.38,249.09,2.6398,
AV1281CMA,3368,3119.38,498.18,2.9604,
AV1281CMA,3664,3119.38,996.36,3.6017,
AV1281CMA,3942,3119.38,1494.53,4.2430,
AV1281CMA,4205,3119.38,1992.71,4.8769,
AV1281CMA,4684,3119.38,2989.07,6.1819,
AV1281CMA,5119,3119.38,3985.42,7.5241,
AV1281CMA,3387,3302.88,249.09,3.0947,
AV1281CMA,3531,3302.88,498.18,3.4302,
AV1281CMA,3812,3302.88,996.36,4.1088,
AV1281CMA,4079,3302.88,1494.53,4.7874,
AV1281CMA,4332,3302.88,1992.71,5.4585,
AV1281CMA,4799,3302.88,2989.07,6.8232,
AV1281CMA,5222,3302.88,3985.42,8.2325,
AV1562CMA,925,897.08,249.09,0.1193,
AV1562CMA,1248,897.08,498.18,0.2386,
AV1562CMA,1723,897.08,996.36,0.4996,
AV1562CMA,2091,897.08,1494.53,0.7830,
AV1562CMA,2402,897.08,1992.71,1.0962,
AV1562CMA,992,1196.10,249.09,0.1790,
AV1562CMA,1294,1196.10,498.18,0.3207,
AV1562CMA,1755,1196.10,996.36,0.6413,
AV1562CMA,2119,1196.10,1494.53,0.9843,
AV1562CMA,2427,1196.10,1992.71,1.3423,
AV1562CMA,2946,1196.10,2989.07,2.1252,
AV1562CMA,1075,1495.13,249.09,0.2535,
AV1562CMA,1355,1495.13,498.18,0.4176,
AV1562CMA,1795,1495.13,996.36,0.7904,
AV1562CMA,2152,1495.13,1494.53,1.1931,
AV1562CMA,2457,1495.13,1992.71,1.6182,
AV1562CMA,2972,1495.13,2989.07,2.5056,
AV1562CMA,3408,1495.13,3985.42,3.4526,
AV1562CMA,3793,1495.13,4981.78,4.4667,
AV1562CMA,4141,1495.13,5978.13,5.5480,
AV1562CMA,1170,1794.16,249.09,0.3505,
AV1562CMA,1429,1794.16,498.18,0.5518,
AV1562CMA,1847,1794.16,996.36,0.9694,
AV1562CMA,2191,1794.16,1494.53,1.4243,
AV1562CMA,2491,1794.16,1992.71,1.9015,
AV1562CMA,3002,1794.16,2989.07,2.9082,
AV1562CMA,3435,1794.16,3985.42,3.9671,
AV1562CMA,3817,1794.16,4981.78,5.0708,
AV1562CMA,1273,2093.18,249.09,0.4847,
AV1562CMA,1513,2093.18,498.18,0.7010,
AV1562CMA,1910,2093.18,996.36,1.1707,
AV1562CMA,2241,2093.18,1494.53,1.6778,
AV1562CMA,2531,2093.18,1992.71,2.2147,
AV1562CMA,3035,2093.18,2989.07,3.3333,
AV1562CMA,3465,2093.18,3985.42,4.5115,
AV1562CMA,3844,2093.18,4981.78,5.7270,
AV1562CMA,1383,2392.21,249.09,0.6413,
AV1562CMA,1607,2392.21,498.18,0.8948,
AV1562CMA,1981,2392.21,996.36,1.4168,
AV1562CMA,2300,2392.21,1494.53,1.9686,
AV1562CMA,2581,2392.21,1992.71,2.5503,
AV1562CMA,3071,2392.21,2989.07,3.7807,
AV1562CMA,3497,2392.21,3985.42,5.0708,
AV1562CMA,3874,2392.21,4981.78,6.4130,
AV1562CMA,1499,2691.23,249.09,0.8426,
AV1562CMA,1706,2691.23,498.18,1.1185,
AV1562CMA,2060,2691.23,996.36,1.7002,
AV1562CMA,2366,2691.23,1494.53,2.2968,
AV1562CMA,2639,2691.23,1992.71,2.9306,
AV1562CMA,3115,2691.23,2989.07,4.2654,
AV1562CMA,3532,2691.23,3985.42,5.6599,
AV1562CMA,3906,2691.23,4981.78,7.1065,
AV1562CMA,1618,2990.26,249.09,1.0813,
AV1562CMA,1810,2990.26,498.18,1.3945,
AV1562CMA,2147,2990.26,996.36,2.0208,
AV1562CMA,2439,2990.26,1494.53,2.6771,
AV1562CMA,2703,2990.26,1992.71,3.3556,
AV1562CMA,3167,2990.26,2989.07,4.7874,
AV1562CMA,3574,2990.26,3985.42,6.2937,
AV1562CMA,3941,2990.26,4981.78,7.8448,
AV1562CMA,1742,3289.28,249.09,1.3646,
AV1562CMA,1920,3289.28,498.18,1.7077,
AV1562CMA,2240,3289.28,996.36,2.3937,
AV1562CMA,2519,3289.28,1494.53,3.1021,
AV1562CMA,2773,3289.28,1992.71,3.8329,
AV1562CMA,3225,3289.28,2989.07,5.3467,
AV1562CMA,3622,3289.28,3985.42,6.9648,
AV1562CMA,3982,3289.28,4981.78,8.6277,
AV1562CMA,1868,3588.31,249.09,1.7077,
AV1562CMA,2033,3588.31,498.18,2.0730,
AV1562CMA,2336,3588.31,996.36,2.8187,
AV1562CMA,2605,3588.31,1494.53,3.5794,
AV1562CMA,2849,3588.31,1992.71,4.3623,
AV1562CMA,3288,3588.31,2989.07,5.9731,
AV1562CMA,3677,3588.31,3985.42,7.6807,
AV1562CMA,4029,3588.31,4981.78,9.4555,
AV1562CMA,1997,3887.34,249.09,2.0954,
AV1562CMA,2150,3887.34,498.18,2.4981,
AV1562CMA,2437,3887.34,996.36,3.3035,
AV1562CMA,2696,3887.34,1494.53,4.1163,
AV1562CMA,2931,3887.34,1992.71,4.9514,
AV1562CMA,3356,3887.34,2989.07,6.6666,
AV1562CMA,3736,3887.34,3985.42,8.4488,
AV1562CMA,4081,3887.34,4981.78,10.3205,
AV1562CMA,2127,4186.36,249.09,2.5503,
AV1562CMA,2270,4186.36,498.18,2.9828,
AV1562CMA,2542,4186.36,996.36,3.8478,
AV1562CMA,2790,4186.36,1494.53,4.7054,
AV1562CMA,3018,4186.36,1992.71,5.6002,
AV1562CMA,3429,4186.36,2989.07,7.4197,
AV1562CMA,3800,4186.36,3985.42,9.2989,
AV1562CMA,4138,4186.36,4981.78,11.2452,
AV1562CMA,2258,4485.39,249.09,3.0648,
AV1562CMA,2393,4485.39,498.18,3.5272,
AV1562CMA,2650,4485.39,996.36,4.4518,
AV1562CMA,2888,4485.39,1494.53,5.3765,
AV1562CMA,3108,4485.39,1992.71,6.3086,
AV1562CMA,3507,4485.39,2989.07,8.2400,
AV1562CMA,3868,4485.39,3985.42,10.2161,
AV1562CMA,2391,4784.41,249.09,3.6539,
AV1562CMA,2517,4784.41,498.18,4.1461,
AV1562CMA,2762,4784.41,996.36,5.1304,
AV1562CMA,2989,4784.41,1494.53,6.1073,
AV1562CMA,3202,4784.41,1992.71,7.0916,
AV1562CMA,3589,4784.41,2989.07,9.1274,
AV1562CMA,3940,4784.41,3985.42,11.2153,
AV1562CMA,2525,5083.44,249.09,4.3176,
AV1562CMA,2644,5083.44,498.18,4.8321,
AV1562CMA,2875,5083.44,996.36,5.8761,
AV1562CMA,3094,5083.44,1494.53,6.9276,
AV1562CMA,3300,5083.44,1992.71,7.9641,
AV1562CMA,3675,5083.44,2989.07,10.0893,
AV1562CMA,4016,5083.44,3985.42,12.2817,
AV1562CMA,2660,5382.47,249.09,5.0558,
AV1562CMA,2772,5382.47,498.18,5.6002,
AV1562CMA,2992,5382.47,996.36,6.7113,
AV1562CMA,3201,5382.47,1494.53,7.8149,
AV1562CMA,3399,5382.47,1992.71,8.9037,
AV1562CMA,3765,5382.47,2989.07,11.1333,
AV1562CMA,4096,5382.47,3985.42,13.4226,
AV1912CMA,746,1345.62,249.09,0.1566,
AV1912CMA,1009,1345.62,498.18,0.3132,
AV1912CMA,802,1794.16,249.09,0.2163,
AV1912CMA,1042,1794.16,498.18,0.4101,
AV1912CMA,1420,1794.16,996.36,0.8352,
AV1912CMA,1727,1794.16,1494.53,1.3199,
AV1912CMA,867,2242.69,249.09,0.2983,
AV1912CMA,1095,2242.69,498.18,0.5294,
AV1912CMA,1447,2242.69,996.36,1.0216,
AV1912CMA,1740,2242.69,1494.53,1.5585,
AV1912CMA,1996,2242.69,1992.71,2.1476,
AV1912CMA,938,2691.23,249.09,0.3952,
AV1912CMA,1154,2691.23,498.18,0.6637,
AV1912CMA,1489,2691.23,996.36,1.2304,
AV1912CMA,1766,2691.23,1494.53,1.8344,
AV1912CMA,2012,2691.23,1992.71,2.4757,
AV1912CMA,2441,2691.23,2989.07,3.8851,
AV1912CMA,1015,3139.77,249.09,0.5294,
AV1912CMA,1220,3139.77,498.18,0.8277,
AV1912CMA,1543,3139.77,996.36,1.4690,
AV1912CMA,1805,3139.77,1494.53,2.1402,
AV1912CMA,2040,3139.77,1992.71,2.8486,
AV1912CMA,2454,3139.77,2989.07,4.3623,
AV1912CMA,2815,3139.77,3985.42,6.0029,
AV1912CMA,1097,3588.31,249.09,0.6860,
AV1912CMA,1290,3588.31,498.18,1.0142,
AV1912CMA,1601,3588.31,996.36,1.7300,
AV1912CMA,1856,3588.31,1494.53,2.4832,
AV1912CMA,2079,3588.31,1992.71,3.2513,
AV1912CMA,2477,3588.31,2989.07,4.8918,
AV1912CMA,2828,3588.31,3985.42,6.6442,
AV1912CMA,3145,3588.31,4981.78,8.5159,
AV1912CMA,3435,3588.31,5978.13,10.4473,
AV1912CMA,1183,4036.85,249.09,0.8874,
AV1912CMA,1365,4036.85,498.18,1.2453,
AV1912CMA,1663,4036.85,996.36,2.0283,
AV1912CMA,1911,4036.85,1494.53,2.8486,
AV1912CMA,2128,4036.85,1992.71,3.6987,
AV1912CMA,2509,4036.85,2989.07,5.4585,
AV1912CMA,2849,4036.85,3985.42,7.3302,
AV1912CMA,3158,4036.85,4981.78,9.3063,
AV1912CMA,3443,4036.85,5978.13,11.3943,
AV1912CMA,3707,4036.85,6974.49,13.5195,
AV1912CMA,1271,4485.39,249.09,1.1185,
AV1912CMA,1443,4485.39,498.18,1.5212,
AV1912CMA,1730,4485.39,996.36,2.3639,
AV1912CMA,1970,4485.39,1494.53,3.2587,
AV1912CMA,2183,4485.39,1992.71,4.1834,
AV1912CMA,2550,4485.39,2989.07,6.0775,
AV1912CMA,2879,4485.39,3985.42,8.0834,
AV1912CMA,3179,4485.39,4981.78,10.1639,
AV1912CMA,3457,4485.39,5978.13,12.3488,
AV1912CMA,3716,4485.39,6974.49,14.6157,
AV1912CMA,3961,4485.39,7970.84,16.9647,
AV1912CMA,1362,4933.93,249.09,1.4019,
AV1912CMA,1524,4933.93,498.18,1.8344,
AV1912CMA,1799,4933.93,996.36,2.7367,
AV1912CMA,2033,4933.93,1494.53,3.6987,
AV1912CMA,2240,4933.93,1992.71,4.7054,
AV1912CMA,2600,4933.93,2989.07,6.7560,
AV1912CMA,2916,4933.93,3985.42,8.8738,
AV1912CMA,3207,4933.93,4981.78,11.0811,
AV1912CMA,3478,4933.93,5978.13,13.3704,
AV1912CMA,3732,4933.93,6974.49,15.7417,
AV1912CMA,3972,4933.93,7970.84,18.2174,
AV1912CMA,1456,5382.47,249.09,1.7300,
AV1912CMA,1608,5382.47,498.18,2.1998,
AV1912CMA,1872,5382.47,996.36,3.1692,
AV1912CMA,2099,5382.47,1494.53,4.1983,
AV1912CMA,2300,5382.47,1992.71,5.2572,
AV1912CMA,2654,5382.47,2989.07,7.4719,
AV1912CMA,2961,5382.47,3985.42,9.7239,
AV1912CMA,3242,5382.47,4981.78,12.0580,
AV1912CMA,3506,5382.47,5978.13,14.4740,
AV1912CMA,3754,5382.47,6974.49,16.9498,
AV1912CMA,3988,5382.47,7970.84,19.5001,
AV1912CMA,1553,5831.01,249.09,2.1178,
AV1912CMA,1694,5831.01,498.18,2.6174,
AV1912CMA,1948,5831.01,996.36,3.6614,
AV1912CMA,2167,5831.01,1494.53,4.7427,
AV1912CMA,2364,5831.01,1992.71,5.8761,
AV1912CMA,2710,5831.01,2989.07,8.2325,
AV1912CMA,3012,5831.01,3985.42,10.6411,
AV1912CMA,3284,5831.01,4981.78,13.0870,
AV1912CMA,3540,5831.01,5978.13,15.6299,
AV1912CMA,3782,5831.01,6974.49,18.2398,
AV1912CMA,1651,6279.54,249.09,2.5652,
AV1912CMA,1782,6279.54,498.18,3.0872,
AV1912CMA,2026,6279.54,996.36,4.2057,
AV1912CMA,2239,6279.54,1494.53,5.3541,
AV1912CMA,2430,6279.54,1992.71,6.5472,
AV1912CMA,2768,6279.54,2989.07,9.0304,
AV1912CMA,3066,6279.54,3985.42,11.6031,
AV1912CMA,3333,6279.54,4981.78,14.1981,
AV1912CMA,3580,6279.54,5978.13,16.8379,
AV1912CMA,3815,6279.54,6974.49,19.5672,
AV1912CMA,1750,6728.08,249.09,3.0723,
AV1912CMA,1873,6728.08,498.18,3.6241,
AV1912CMA,2106,6728.08,996.36,4.8098,
AV1912CMA,2312,6728.08,1494.53,6.0178,
AV1912CMA,2498,6728.08,1992.71,7.2780,
AV1912CMA,2830,6728.08,2989.07,9.9029,
AV1912CMA,3122,6728.08,3985.42,12.6172,
AV1912CMA,3386,6728.08,4981.78,15.3763,
AV1912CMA,3627,6728.08,5978.13,18.1354,
AV1912CMA,3855,6728.08,6974.49,20.9840,
AV1912CMA,1851,7176.62,249.09,3.6539,
AV1912CMA,1965,7176.62,498.18,4.2207,
AV1912CMA,2188,7176.62,996.36,5.4809,
AV1912CMA,2388,7176.62,1494.53,6.7635,
AV1912CMA,2569,7176.62,1992.71,8.0759,
AV1912CMA,2893,7176.62,2989.07,10.8201,
AV1912CMA,3180,7176.62,3985.42,13.6761,
AV1912CMA,3440,7176.62,4981.78,16.5918,
AV1912CMA,3678,7176.62,5978.13,19.5075,
AV1912CMA,3901,7176.62,6974.49,22.4754,
AV1912CMA,1952,7625.16,249.09,4.3027,
AV1912CMA,2059,7625.16,498.18,4.8992,
AV1912CMA,2272,7625.16,996.36,6.2266,
AV1912CMA,2465,7625.16,1494.53,7.5689,
AV1912CMA,2642,7625.16,1992.71,8.9484,
AV1912CMA,2958,7625.16,2989.07,11.8119,
AV1912CMA,3240,7625.16,3985.42,14.7947,
AV1912CMA,3496,7625.16,4981.78,17.8670,
AV1912CMA,3732,7625.16,5978.13,20.9542,
AV1912CMA,3951,7625.16,6974.49,24.0563,
AV1912CMA,2054,8073.70,249.09,5.0260,
AV1912CMA,2155,8073.70,498.18,5.6524,
AV1912CMA,2358,8073.70,996.36,7.0394,
AV1912CMA,2544,8073.70,1494.53,8.4562,
AV1912CMA,2716,8073.70,1992.71,9.8880,
AV1912CMA,3026,8073.70,2989.07,12.8857,
AV1912CMA,3302,8073.70,3985.42,15.9878,
AV1912CMA,3553,8073.70,4981.78,19.1794,
AV1912CMA,3786,8073.70,5978.13,22.4307,
AV2262CMA,622,1896.10,249.09,0.2013,
AV2262CMA,840,1896.10,498.18,0.3952,
AV2262CMA,668,2528.13,249.09,0.2834,
AV2262CMA,870,2528.13,498.18,0.5294,
AV2262CMA,1184,2528.13,996.36,1.0664,
AV2262CMA,1440,2528.13,1494.53,1.6704,
AV2262CMA,721,3160.16,249.09,0.3952,
AV2262CMA,912,3160.16,498.18,0.6860,
AV2262CMA,1207,3160.16,996.36,1.3050,
AV2262CMA,1450,3160.16,1494.53,1.9836,
AV2262CMA,1664,3160.16,1992.71,2.7218,
AV2262CMA,778,3792.19,249.09,0.5220,
AV2262CMA,961,3792.19,498.18,0.8725,
AV2262CMA,1242,3792.19,996.36,1.5883,
AV2262CMA,1473,3792.19,1494.53,2.3415,
AV2262CMA,1677,3792.19,1992.71,3.1543,
AV2262CMA,2034,3792.19,2989.07,4.9142,
AV2262CMA,839,4424.22,249.09,0.6860,
AV2262CMA,1015,4424.22,498.18,1.0962,
AV2262CMA,1285,4424.22,996.36,1.9090,
AV2262CMA,1507,4424.22,1494.53,2.7591,
AV2262CMA,1701,4424.22,1992.71,3.6390,
AV2262CMA,2044,4424.22,2989.07,5.5406,
AV2262CMA,2346,4424.22,3985.42,7.6061,
AV2262CMA,903,5056.26,249.09,0.8799,
AV2262CMA,1071,5056.26,498.18,1.3423,
AV2262CMA,1333,5056.26,996.36,2.2669,
AV2262CMA,1547,5056.26,1494.53,3.2140,
AV2262CMA,1735,5056.26,1992.71,4.1908,
AV2262CMA,2064,5056.26,2989.07,6.2266,
AV2262CMA,2356,5056.26,3985.42,8.4413,
AV2262CMA,2620,5056.26,4981.78,10.7828,
AV2262CMA,2862,5056.26,5978.13,13.2287,
AV2262CMA,971,5688.29,249.09,1.1260,
AV2262CMA,1130,5688.29,498.18,1.6256,
AV2262CMA,1384,5688.29,996.36,2.6771,
AV2262CMA,1592,5688.29,1494.53,3.7210,
AV2262CMA,1774,5688.29,1992.71,4.7874,
AV2262CMA,2093,5688.29,2989.07,7.0021,
AV2262CMA,2374,5688.29,3985.42,9.3362,
AV2262CMA,2630,5688.29,4981.78,11.8119,
AV2262CMA,2868,5688.29,5978.13,14.4293,
AV2262CMA,3088,5688.29,6974.49,17.1138,
AV2262CMA,3295,5688.29,7970.84,19.9102,
AV2262CMA,1039,6320.32,249.09,1.4094,
AV2262CMA,1191,6320.32,498.18,1.9612,
AV2262CMA,1439,6320.32,996.36,3.1319,
AV2262CMA,1640,6320.32,1494.53,4.2729,
AV2262CMA,1818,6320.32,1992.71,5.4436,
AV2262CMA,2128,6320.32,2989.07,7.8373,
AV2262CMA,2401,6320.32,3985.42,10.3429,
AV2262CMA,2648,6320.32,4981.78,12.9304,
AV2262CMA,2879,6320.32,5978.13,15.6746,
AV2262CMA,3095,6320.32,6974.49,18.5157,
AV2262CMA,3299,6320.32,7970.84,21.4687,
AV2262CMA,1110,6952.35,249.09,1.7599,
AV2262CMA,1256,6952.35,498.18,2.3564,
AV2262CMA,1495,6952.35,996.36,3.6241,
AV2262CMA,1692,6952.35,1494.53,4.8918,
AV2262CMA,1865,6952.35,1992.71,6.1520,
AV2262CMA,2167,6952.35,2989.07,8.7396,
AV2262CMA,2433,6952.35,3985.42,11.4092,
AV2262CMA,2674,6952.35,4981.78,14.1683,
AV2262CMA,2897,6952.35,5978.13,17.0169,
AV2262CMA,3108,6952.35,6974.49,19.9997,
AV2262CMA,3307,6952.35,7970.84,23.0794,
AV2262CMA,1181,7584.38,249.09,2.1625,
AV2262CMA,1322,7584.38,498.18,2.8038,
AV2262CMA,1552,7584.38,996.36,4.1610,
AV2262CMA,1746,7584.38,1494.53,5.5555,
AV2262CMA,1915,7584.38,1992.71,6.9276,
AV2262CMA,2210,7584.38,2989.07,9.7016,
AV2262CMA,2470,7584.38,3985.42,12.5650,
AV2262CMA,2705,7584.38,4981.78,15.4882,
AV2262CMA,2922,7584.38,5978.13,18.4784,
AV2262CMA,3126,7584.38,6974.49,21.5656,
AV2262CMA,3321,7584.38,7970.84,24.7871,
AV2262CMA,1254,8216.42,249.09,2.6249,
AV2262CMA,1389,8216.42,498.18,3.3109,
AV2262CMA,1612,8216.42,996.36,4.7576,
AV2262CMA,1802,8216.42,1494.53,6.2862,
AV2262CMA,1967,8216.42,1992.71,7.7627,
AV2262CMA,2256,8216.42,2989.07,10.7381,
AV2262CMA,2510,8216.42,3985.42,13.7805,
AV2262CMA,2740,8216.42,4981.78,16.8826,
AV2262CMA,2953,8216.42,5978.13,20.0519,
AV2262CMA,3152,8216.42,6974.49,23.2882,
AV2262CMA,1328,8848.45,249.09,3.1618,
AV2262CMA,1458,8848.45,498.18,3.9000,
AV2262CMA,1673,8848.45,996.36,5.4287,
AV2262CMA,1858,8848.45,1494.53,7.0543,
AV2262CMA,2022,8848.45,1992.71,8.6799,
AV2262CMA,2304,8848.45,2989.07,11.8417,
AV2262CMA,2553,8848.45,3985.42,15.0781,
AV2262CMA,2778,8848.45,4981.78,18.3517,
AV2262CMA,2987,8848.45,5978.13,21.7073,
AV2262CMA,3182,8848.45,6974.49,25.1003,
AV2262CMA,1403,9480.48,249.09,3.7732,
AV2262CMA,1528,9480.48,498.18,4.5562,
AV2262CMA,1736,9480.48,996.36,6.1744,
AV2262CMA,1916,9480.48,1494.53,7.8820,
AV2262CMA,2077,9480.48,1992.71,9.6419,
AV2262CMA,2355,9480.48,2989.07,13.0348,
AV2262CMA,2599,9480.48,3985.42,16.4576,
AV2262CMA,2820,9480.48,4981.78,19.9251,
AV2262CMA,3024,9480.48,5978.13,23.4373,
AV2262CMA,3216,9480.48,6974.49,27.0242,
AV2262CMA,1479,10112.51,249.09,4.4667,
AV2262CMA,1598,10112.51,498.18,5.2945,
AV2262CMA,1801,10112.51,996.36,7.0021,
AV2262CMA,1975,10112.51,1494.53,8.7843,
AV2262CMA,2133,10112.51,1992.71,10.6561,
AV2262CMA,2407,10112.51,2989.07,14.2951,
AV2262CMA,2647,10112.51,3985.42,17.9192,
AV2262CMA,2864,10112.51,4981.78,21.5731,
AV2262CMA,3064,10112.51,5978.13,25.2643,
AV2262CMA,3252,10112.51,6974.49,29.0077,
AV2262CMA,1555,10744.54,249.09,5.2348,
AV2262CMA,1670,10744.54,498.18,6.1147,
AV2262CMA,1867,10744.54,996.36,7.9193,
AV2262CMA,2036,10744.54,1494.53,9.7836,
AV2262CMA,2190,10744.54,1992.71,11.7299,
AV2262CMA,2461,10744.54,2989.07,15.6448,
AV2262CMA,2696,10744.54,3985.42,19.4553,
AV2262CMA,2910,10744.54,4981.78,23.3106,
AV2262CMA,3107,10744.54,5978.13,27.1882,
AV2262CMA,3291,10744.54,6974.49,31.1031,
AV2262CMA,1632,11376.58,249.09,6.0998,
AV2262CMA,1742,11376.58,498.18,7.0245,
AV2262CMA,1934,11376.58,996.36,8.9186,
AV2262CMA,2099,11376.58,1494.53,10.8798,
AV2262CMA,2249,11376.58,1992.71,12.9081,
AV2262CMA,2516,11376.58,2989.07,17.0691,
AV2262CMA,2748,11376.58,3985.42,21.1108,
AV2262CMA,2957,11376.58,4981.78,25.1226,
AV2262CMA,3152,11376.58,5978.13,29.2165,
AV2262CMA,3333,11376.58,6974.49,33.3030,
AV2612CMA,539,2528.13,249.09,0.2685,
AV2612CMA,728,2528.13,498.18,0.5294,
AV2612CMA,578,3370.84,249.09,0.3803,
AV2612CMA,754,3370.84,498.18,0.7010,
AV2612CMA,1025,3370.84,996.36,1.4168,
AV2612CMA,1247,3370.84,1494.53,2.2296,
AV2612CMA,624,4213.55,249.09,0.5220,
AV2612CMA,790,4213.55,498.18,0.9098,
AV2612CMA,1045,4213.55,996.36,1.7375,
AV2612CMA,1256,4213.55,1494.53,2.6472,
AV2612CMA,1441,4213.55,1992.71,3.6316,
AV2612CMA,674,5056.26,249.09,0.7010,
AV2612CMA,832,5056.26,498.18,1.1633,
AV2612CMA,1076,5056.26,996.36,2.1178,
